speed,baro_pressure,amb_air_temp,accelerator_pos_d,accelerator_pos_e,fuel_type,
0.0,98,6,14.509803921568627,14.509803921568627,Electric,
0.0,98,6,14.509803921568627,14.509803921568627,Electric,
0.0,98,6,14.509803921568627,14.509803921568627,Electric,
0.0,98,6,14.509803921568627,14.509803921568627,Electric,
0.0,98,6,14.509803921568627,14.509803921568627,Electric,
0.0,98,6,14.509803921568627,14.509803921568627,Electric,
0.0,98,6,14.509803921568627,14.509803921568627,Electric,
0.0,98,6,14.509803921568627,14.509803921568627,Electric,
0.0,98,6,14.509803921568627,14.509803921568627,Electric,
0.0,98,6,14.509803921568627,14.509803921568627,Electric,
0.0,98,6,14.509803921568627,14.509803921568627,Electric,
0.0,98,6,14.509803921568627,14.509803921568627,Electric,
0.0,98,6,14.509803921568627,14.509803921568627,Electric,
0.0,98,6,14.509803921568627,14.509803921568627,Electric,
0.0,98,6,14.509803921568627,14.509803921568627,Electric,
