PosX,PosY,PosZ,Speed,AccX,AccY,AccZ,
   0.000,   0.000,   0.000,  -3.600,   0.000,   0.000,   0.000,
   0.000,   0.000,   0.000,  -3.600,   0.000,   0.000,   0.000,
   0.000,   0.000,   0.000,  -3.600,   0.000,   0.000,   0.000,
   0.000,   0.000,   0.000,  -3.600,   0.000,   0.000,   0.000,
   0.000,   0.000,   0.000,  -3.600,   0.000,   0.000,   0.000,
   0.000,   0.000,   0.000,  -3.600,   0.000,   0.000,   0.000,
   0.000,   0.000,   0.000,  -3.600,   0.000,   0.000,   0.000,
   0.000,   0.000,   0.000,  -3.600,   0.000,   0.000,   0.000,
   0.000,   0.000,   0.000,  -3.600,   0.000,   0.000,   0.000,
   0.000,   0.000,   0.000,  -3.600,   0.000,   0.000,   0.000,
   0.000,   0.000,   0.000,  -3.600,   0.000,   0.000,   0.000,
   0.000,   0.000,   0.000,  -3.600,   0.000,   0.000,   0.000,
   0.000,   0.000,   0.000,  -3.600,   0.000,   0.000,   0.000,
   0.000,   0.000,   0.000,  -3.600,   0.000,   0.000,   0.000,
   0.000,   0.000,   0.000,  -3.600,   0.000,   0.000,   0.000,
   0.000,   0.000,   0.000,  -3.600,   0.000,   0.000,   0.000,
   0.000,   0.000,   0.000,  -3.600,   0.000,   0.000,   0.000,
   0.000,   0.000,   0.000,  -3.600,   0.000,   0.000,   0.000,
   0.000,   0.000,   0.000,  -3.600,   0.000,   0.000,   0.000,
   0.000,   0.000,   0.000,  -3.600,   0.000,   0.000,   0.000,
   0.000,   0.000,   0.000,  -3.600,   0.000,   0.000,   0.000,
   0.000,   0.000,   0.000,  -3.600,   0.000,   0.000,   0.000,
   0.000,   0.000,   0.000,  -3.600,   0.000,   0.000,   0.000,
   0.000,   0.000,   0.000,  -3.600,   0.000,   0.000,   0.000,
   0.000,   0.000,   0.000,  -3.600,   0.000,   0.000,   0.000,
   0.000,   0.000,   0.000,  -3.600,   0.000,   0.000,   0.000,
   0.000,   0.000,   0.000,  -3.600,   0.000,   0.000,   0.000,
   0.000,   0.000,   0.000,  -3.600,   0.000,   0.000,   0.000,
   0.000,   0.000,   0.000,  -3.600,   0.000,   0.000,   0.000,
   0.000,   0.000,   0.000,  -3.600,   0.000,   0.000,   0.000,
   0.000,   0.000,   0.000,  -3.600,   0.000,   0.000,   0.000,
   0.000,   0.000,   0.000,  -3.600,   0.000,   0.000,   0.000,
   0.000,   0.000,   0.000,  -3.600,   0.000,   0.000,   0.000,
   0.000,   0.000,   0.000,  -3.600,   0.000,   0.000,   0.000,
   0.000,   0.000,   0.000,  -3.600,   0.000,   0.000,   0.000,
   0.000,   0.000,   0.000,  -3.600,   0.000,   0.000,   0.000,
   0.000,   0.000,   0.000,  -3.600,   0.000,   0.000,   0.000,
   0.000,   0.000,   0.000,  -3.600,   0.000,   0.000,   0.000,
   0.000,   0.000,   0.000,  -3.600,   0.000,   0.000,   0.000,
   0.000,   0.000,   0.000,  -3.600,   0.000,   0.000,   0.000,
   0.000,   0.000,   0.000,  -3.600,   0.000,   0.000,   0.000,
   0.000,   0.000,   0.000,  -3.600,   0.000,   0.000,   0.000,
   0.000,   0.000,   0.000,  -3.600,   0.000,   0.000,   0.000,
   0.000,   0.000,   0.000,  -3.600,   0.000,   0.000,   0.000,
   0.000,   0.000,   0.000,  -3.600,   0.000,   0.000,   0.000,
   0.000,   0.000,   0.000,  -3.600,   0.000,   0.000,   0.000,
   0.000,   0.000,   0.000,  -3.600,   0.000,   0.000,   0.000,
   0.000,   0.000,   0.000,  -3.600,   0.000,   0.000,   0.000,
   0.000,   0.000,   0.000,  -3.600,   0.000,   0.000,   0.000,
   0.000,   0.000,   0.000,  -3.600,   0.000,   0.000,   0.000,
   0.000,   0.000,   0.000,  -3.600,   0.000,   0.000,   0.000,
   0.000,   0.000,   0.000,  -3.600,   0.000,   0.000,   0.000,
   0.000,   0.000,   0.000,  -3.600,   0.000,   0.000,   0.000,
   0.000,   0.000,   0.000,  -3.600,   0.000,   0.000,   0.000,
   0.000,   0.000,   0.000,  -3.600,   0.000,   0.000,   0.000,
   0.000,   0.000,   0.000,  -3.600,   0.000,   0.000,   0.000,
   0.000,   0.000,   0.000,  -3.600,   0.000,   0.000,   0.000,
   0.000,   0.000,   0.000,  -3.600,   0.000,   0.000,   0.000,
   0.000,   0.000,   0.000,  -3.600,   0.000,   0.000,   0.000,
   0.000,   0.000,   0.000,  -3.600,   0.000,   0.000,   0.000,
   0.000,   0.000,   0.000,  -3.600,   0.000,   0.000,   0.000,
   0.000,   0.000,   0.000,  -3.600,   0.000,   0.000,   0.000,
   0.000,   0.000,   0.000,  -3.600,   0.000,   0.000,   0.000,
   0.000,   0.000,   0.000,  -3.600,   0.000,   0.000,   0.000,
   0.000,   0.000,   0.000,  -3.600,   0.000,   0.000,   0.000,
   0.000,   0.000,   0.000,  -3.600,   0.000,   0.000,   0.000,
   0.000,   0.000,   0.000,  -3.600,   0.000,   0.000,   0.000,
   0.000,   0.000,   0.000,  -3.600,   0.000,   0.000,   0.000,
   0.000,   0.000,   0.000,  -3.600,   0.000,   0.000,   0.000,
   0.000,   0.000,   0.000,  -3.600,   0.000,   0.000,   0.000,
   0.000,   0.000,   0.000,  -3.600,   0.000,   0.000,   0.000,
   0.000,   0.000,   0.000,  -3.600,   0.000,   0.000,   0.000,
   0.000,   0.000,   0.000,  -3.600,   0.000,   0.000,   0.000,
   0.000,   0.000,   0.000,  -3.600,   0.000,   0.000,   0.000,
   0.000,   0.000,   0.000,  -3.600,   0.000,   0.000,   0.000,
   0.000,   0.000,   0.000,  -3.600,   0.000,   0.000,   0.000,
   0.000,   0.000,   0.000,  -3.600,   0.000,   0.000,   0.000,
   0.000,   0.000,   0.000,  -3.600,   0.000,   0.000,   0.000,
   0.000,   0.000,   0.000,  -3.600,   0.000,   0.000,   0.000,
   0.000,   0.000,   0.000,  -3.600,   0.000,   0.000,   0.000,
   0.000,   0.000,   0.000,  -3.600,   0.000,   0.000,   0.000,
   0.000,   0.000,   0.000,  -3.600,   0.000,   0.000,   0.000,
   0.000,   0.000,   0.000,  -3.600,   0.000,   0.000,   0.000,
   0.000,   0.000,   0.000,  -3.600,   0.000,   0.000,   0.000,
   0.000,   0.000,   0.000,  -3.600,   0.000,   0.000,   0.000,
   0.000,   0.000,   0.000,  -3.600,   0.000,   0.000,   0.000,
   0.000,   0.000,   0.000,  -3.600,   0.000,   0.000,   0.000,
   0.000,   0.000,   0.000,  -3.600,   0.000,   0.000,   0.000,
   0.000,   0.000,   0.000,  -3.600,   0.000,   0.000,   0.000,
   0.000,   0.000,   0.000,  -3.600,   0.000,   0.000,   0.000,
   0.000,   0.000,   0.000,  -3.600,   0.000,   0.000,   0.000,
   0.000,   0.000,   0.000,  -3.600,   0.000,   0.000,   0.000,
   0.000,   0.000,   0.000,  -3.600,   0.000,   0.000,   0.000,
   0.000,   0.000,   0.000,  -3.600,   0.000,   0.000,   0.000,
   0.000,   0.000,   0.000,  -3.600,   0.000,   0.000,   0.000,
   0.000,   0.000,   0.000,  -3.600,   0.000,   0.000,   0.000,
   0.000,   0.000,   0.000,  -3.600,   0.000,   0.000,   0.000,
   0.000,   0.000,   0.000,  -3.600,   0.000,   0.000,   0.000,
   0.000,   0.000,   0.000,  -3.600,   0.000,   0.000,   0.000,
   0.000,   0.000,   0.000,  -3.600,   0.000,   0.000,   0.000,
   0.000,   0.000,   0.000,  -3.600,   0.000,   0.000,   0.000,
   0.000,   0.000,   0.000,  -3.600,   0.000,   0.000,   0.000,
   0.000,   0.000,   0.000,  -3.600,   0.000,   0.000,   0.000,
   0.000,   0.000,   0.000,  -3.600,   0.000,   0.000,   0.000,
   0.000,   0.000,   0.000,  -3.600,   0.000,   0.000,   0.000,
   0.000,   0.000,   0.000,  -3.600,   0.000,   0.000,   0.000,
   0.000,   0.000,   0.000,  -3.600,   0.000,   0.000,   0.000,
   0.000,   0.000,   0.000,  -3.600,   0.000,   0.000,   0.000,
   0.000,   0.000,   0.000,  -3.600,   0.000,   0.000,   0.000,
   0.000,   0.000,   0.000,  -3.600,   0.000,   0.000,   0.000,
   0.000,   0.000,   0.000,  -3.600,   0.000,   0.000,   0.000,
   0.000,   0.000,   0.000,  -3.600,   0.000,   0.000,   0.000,
   0.000,   0.000,   0.000,  -3.600,   0.000,   0.000,   0.000,
   0.000,   0.000,   0.000,  -3.600,   0.000,   0.000,   0.000,
   0.000,   0.000,   0.000,  -3.600,   0.000,   0.000,   0.000,
   0.000,   0.000,   0.000,  -3.600,   0.000,   0.000,   0.000,
   0.000,   0.000,   0.000,  -3.600,   0.000,   0.000,   0.000,
   0.000,   0.000,   0.000,  -3.600,   0.000,   0.000,   0.000,
   0.000,   0.000,   0.000,  -3.600,   0.000,   0.000,   0.000,
   0.000,   0.000,   0.000,  -3.600,   0.000,   0.000,   0.000,
   0.000,   0.000,   0.000,  -3.600,   0.000,   0.000,   0.000,
